Database,Table,Col #,Column,Data Type,Nullable,Key,Default,Extra,Charset,Collation,Comment
ps_rpt,classschedule_v,26,classsection,varchar(4),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,classschedule_v,27,classstarttime,varchar(7),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,classschedule_v,28,classendtime,varchar(7),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,classschedule_v,29,startdate,date,YES,,,,,,
ps_rpt,classschedule_v,30,enddate,date,YES,,,,,,
ps_rpt,classschedule_v,31,coursedescription,varchar(50),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,classschedule_v,32,unitsminimum,"float(5,2)",YES,,,,,,
ps_rpt,classschedule_v,33,unitsmximum,"float(5,2)",YES,,,,,,
ps_rpt,classschedule_v,34,associateclass,int,YES,,,,,,
ps_rpt,classschedule_v,35,instructmodsourcekey,varchar(6),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,classschedule_v,36,instructionmode,varchar(60),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,classschedule_v,37,dt,datetime,YES,,,,,,
ps_rpt,classschedule_v,38,ts,timestamp,NO,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
ps_rpt,degreeawards_v,1,employeeid,varchar(8),NO,PRI,,,latin1,latin1_swedish_ci,
ps_rpt,degreeawards_v,2,degreesourcekey,varchar(8),NO,PRI,,,latin1,latin1_swedish_ci,
ps_rpt,degreeawards_v,3,highschool,varchar(50),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,degreeawards_v,4,highschoolsourcekey,varchar(11),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,degreeawards_v,5,degreestatussourcekey,varchar(1),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,degreeawards_v,6,institution,varchar(50),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,degreeawards_v,7,institutionsourcekey,varchar(5),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,degreeawards_v,8,majorsourcekey,varchar(10),NO,PRI,,,latin1,latin1_swedish_ci,
ps_rpt,degreeawards_v,9,degreeconferdate,date,YES,,,,,,
ps_rpt,degreeawards_v,10,degreestatusdate,date,YES,,,,,,
ps_rpt,degreeawards_v,11,dt,datetime,YES,,,,,,
ps_rpt,degreeawards_v,12,ts,timestamp,NO,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
ps_rpt,lok_acad_group_v,1,sourcekey,varchar(5),NO,PRI,,,latin1,latin1_swedish_ci,
ps_rpt,lok_acad_group_v,2,description,varchar(30),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,lok_acad_group_v,3,effectivestatus,varchar(1),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,lok_acad_group_v,4,effectivedate,date,NO,,,,,,
ps_rpt,lok_acad_group_v,5,active,tinyint(1),YES,,,,,,
ps_rpt,lok_acad_group_v,6,ts,timestamp,NO,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
ps_rpt,lok_acad_org_v,1,sourcekey,varchar(10),NO,PRI,,,latin1,latin1_swedish_ci,
ps_rpt,lok_acad_org_v,2,description,varchar(30),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,lok_acad_org_v,3,effectivestatus,varchar(1),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,lok_acad_org_v,4,effectivedate,date,NO,,,,,,
ps_rpt,lok_acad_org_v,5,active,tinyint(1),YES,,,,,,
ps_rpt,lok_acad_org_v,6,ts,timestamp,NO,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
ps_rpt,lok_acad_prog_v,1,sourcekey,varchar(5),NO,PRI,,,latin1,latin1_swedish_ci,
ps_rpt,lok_acad_prog_v,2,description,varchar(30),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,lok_acad_prog_v,3,effectivestatus,varchar(1),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,lok_acad_prog_v,4,effectivedate,date,NO,,,,,,
ps_rpt,lok_acad_prog_v,5,active,tinyint(1),YES,,,,,,
ps_rpt,lok_acad_prog_v,6,ts,timestamp,NO,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
ps_rpt,lok_org_location_v,1,ext_org_id,varchar(11),NO,PRI,,,latin1,latin1_swedish_ci,
ps_rpt,lok_org_location_v,2,descr50,varchar(50),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,lok_org_location_v,3,dt,datetime,YES,,,,,,
ps_rpt,lok_org_location_v,4,ts,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
ps_rpt,lok_term_v,1,sourcekey,varchar(4),NO,PRI,,,latin1,latin1_swedish_ci,
ps_rpt,lok_term_v,2,description,varchar(30),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,lok_term_v,3,sessioncode,varchar(3),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,lok_term_v,4,weeksofinstruction,tinyint,YES,,,,,,
ps_rpt,lok_term_v,5,termcategory,varchar(30),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,lok_term_v,6,termtype,varchar(6),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,lok_term_v,7,academicyear,varchar(4),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,lok_term_v,8,termbegindate,date,YES,,,,,,
ps_rpt,lok_term_v,9,termenddate,date,YES,,,,,,
ps_rpt,lok_term_v,10,active,tinyint(1),YES,,,,,,
ps_rpt,lok_term_v,11,ts,timestamp,NO,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
ps_rpt,person_name_deprecated,1,employeeid,varchar(8),NO,PRI,,,latin1,latin1_swedish_ci,
ps_rpt,person_name_deprecated,2,person_name,varchar(50),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,person_name_deprecated,3,first_name,varchar(30),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,person_name_deprecated,4,middle_name,varchar(30),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,person_name_deprecated,5,last_name,varchar(30),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,person_name_deprecated,6,name_suffix,varchar(15),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,person_name_deprecated,7,first_mi_last_suffix,varchar(83),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,person_name_deprecated,8,ts,timestamp,NO,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
ps_rpt,ps_class_capacity_v,1,crse_id,varchar(6),NO,PRI,,,latin1,latin1_swedish_ci,
ps_rpt,ps_class_capacity_v,2,classnumber,varchar(6),NO,PRI,,,latin1,latin1_swedish_ci,
ps_rpt,ps_class_capacity_v,3,strm,varchar(4),NO,PRI,,,latin1,latin1_swedish_ci,
ps_rpt,ps_class_capacity_v,4,enrollment_capacity,mediumint,YES,,,,,,
ps_rpt,ps_class_capacity_v,5,class_enroll_total,mediumint,YES,,,,,,
ps_rpt,ps_class_capacity_v,6,reserve_capacity,mediumint,YES,,,,,,
ps_rpt,ps_class_capacity_v,7,reserve_capacity_enroll_total,mediumint,YES,,,,,,
ps_rpt,ps_class_capacity_v,8,rqrmnt_group,varchar(6),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,ps_class_capacity_v,9,ts,timestamp,NO,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
ps_rpt,ps_course_catalog_v,1,crse_id,varchar(6),NO,PRI,,,latin1,latin1_swedish_ci,
ps_rpt,ps_course_catalog_v,2,primarysubject,varchar(3),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,ps_course_catalog_v,3,primarycatalognumber,varchar(10),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,ps_course_catalog_v,4,coursetitlelong,varchar(100),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,ps_course_catalog_v,5,descriptionlong,blob,YES,,,,,,
ps_rpt,ps_course_catalog_v,6,gradingbasis,varchar(3),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,ps_course_catalog_v,7,rqrmnt_group,varchar(6),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,ps_course_catalog_v,8,rqrmnt_group_long_description,varchar(254),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,ps_course_catalog_v,9,academicgroup,varchar(5),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,ps_course_catalog_v,10,academicorganization,varchar(10),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,ps_course_catalog_v,11,effectivestatus,varchar(1),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,ps_course_catalog_v,12,effectivedate,date,YES,,,,,,
